Top-10 words:
a, freq: 0.2101446263818469
the, freq: 0.6607513922367219
of, freq: 0.30949214529133073
in, freq: 0.17222176045216525
to, freq: 0.3417629457235475
was, freq: 0.14986285429307622
and, freq: 0.4307829773086194
he, freq: 0.16002410439697448
his, freq: 0.15996176543928187
that, freq: 0.15225251433796028

